trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score
2026-04-15,sina_finance,600519.SH,市场高切低？“喝酒吃药”卷土重来，华宝基金电力ETF逆..,(05-29) 市场高切低？“喝酒吃药”卷土重来，华宝基金电力ETF逆.. | (05-29) 市场高切低？“喝酒吃药”卷土重来，华宝基金电力ETF逆..,2026-05-29,(05-29) 市场高切低？“喝酒吃药”卷土重来，华宝基金电力ETF逆..,https://cj.sina.cn/articles/view/7651844612/1c815e20402001vfoq,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-29T22:48:27.440402,False,success,,0.0,0.0
2026-04-15,sina_finance,600519.SH,泡泡玛特大涨！刚举牌的段永平发了个表情包,(05-29) 泡泡玛特大涨！刚举牌的段永平发了个表情包 | (05-29) 泡泡玛特大涨！刚举牌的段永平发了个表情包,2026-05-29,(05-29) 泡泡玛特大涨！刚举牌的段永平发了个表情包,https://cj.sina.cn/articles/view/5696766151/1538dc0c700101tmuu,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-29T22:48:27.440402,False,success,,0.0,0.0
2026-04-15,sina_finance,600519.SH,谁是世界上第二爱泡泡玛特的人？,(05-29) 谁是世界上第二爱泡泡玛特的人？ | (05-29) 谁是世界上第二爱泡泡玛特的人？,2026-05-29,(05-29) 谁是世界上第二爱泡泡玛特的人？,https://k.sina.cn/article_5953466483_162dab07301901qt50.html,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-29T22:48:27.440402,False,success,,0.0,0.0
2026-04-15,sina_finance,600519.SH,财中ETF风向标｜中国中免大涨8.8%领涨消费板块，消..,(05-29) 财中ETF风向标｜中国中免大涨8.8%领涨消费板块，消.. | (05-29) 财中ETF风向标｜中国中免大涨8.8%领涨消费板块，消..,2026-05-29,(05-29) 财中ETF风向标｜中国中免大涨8.8%领涨消费板块，消..,https://cj.sina.cn/articles/view/7935425109/1d8fcfa5502001fquc,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-29T22:48:27.440402,False,success,,0.0,0.0
2026-04-15,sina_finance,600519.SH,35亿主力资金涌入，换帅降薪白酒板块触底反弹？,(05-29) 35亿主力资金涌入，换帅降薪白酒板块触底反弹？ | (05-29) 35亿主力资金涌入，换帅降薪白酒板块触底反弹？,2026-05-29,(05-29) 35亿主力资金涌入，换帅降薪白酒板块触底反弹？,https://cj.sina.cn/articles/view/2000961721/774440b90200188uq,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-29T22:48:27.440402,False,success,,0.2857142857142857,0.2857142857142857
2026-04-15,sina_finance,600519.SH,大消费强势崛起？白酒股逆势上攻,(05-29) 大消费强势崛起？白酒股逆势上攻 | (05-29) 大消费强势崛起？白酒股逆势上攻,2026-05-29,(05-29) 大消费强势崛起？白酒股逆势上攻,https://cj.sina.cn/articles/view/5115326071/130e5ae7702002w0uk,https://finance.sina.com.cn/realstock/company/sh600519/nc.shtml,2026-05-29T22:48:27.440402,False,success,,0.2857142857142857,0.2857142857142857
2026-04-15,sina_finance,000001.SZ,刘庆峰：超拟人多模态交互 推动大模型向行业纵深发展,(05-29) 刘庆峰：超拟人多模态交互 推动大模型向行业纵深发展 | (05-29) 刘庆峰：超拟人多模态交互 推动大模型向行业纵深发展,2026-05-29,(05-29) 刘庆峰：超拟人多模态交互 推动大模型向行业纵深发展,https://finance.sina.com.cn/stock/t/2026-05-29/doc-inhzqimk7952508.shtml,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-29T22:48:31.183455,False,success,,0.0,0.0
2026-04-15,sina_finance,000001.SZ,学习强国×中国平安启动“安心社区”行动，平安银行探索金..,(05-29) 学习强国×中国平安启动“安心社区”行动，平安银行探索金.. | (05-29) 学习强国×中国平安启动“安心社区”行动，平安银行探索金..,2026-05-29,(05-29) 学习强国×中国平安启动“安心社区”行动，平安银行探索金..,https://finance.sina.com.cn/jjxw/2026-05-29/doc-inhzqimk7942945.shtml,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-29T22:48:31.183455,False,success,,0.0,0.0
2026-04-15,sina_finance,000001.SZ,平安银行洛阳分行积极参与洛阳市反诈主题宣传活动,(05-29) 平安银行洛阳分行积极参与洛阳市反诈主题宣传活动 | (05-29) 平安银行洛阳分行积极参与洛阳市反诈主题宣传活动,2026-05-29,(05-29) 平安银行洛阳分行积极参与洛阳市反诈主题宣传活动,https://cj.sina.cn/articles/view/1641145823/61d1e5df001017i3y,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-29T22:48:31.183455,False,success,,0.0,0.0
2026-04-15,sina_finance,000001.SZ,银行板块逆势拉升 重庆银行涨超4%创历史新高,(05-29) 银行板块逆势拉升 重庆银行涨超4%创历史新高 | (05-29) 银行板块逆势拉升 重庆银行涨超4%创历史新高,2026-05-29,(05-29) 银行板块逆势拉升 重庆银行涨超4%创历史新高,https://finance.sina.com.cn/7x24/2026-05-29/doc-inhzpwvq7972536.shtml,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-29T22:48:31.183455,False,success,,0.0,0.0
2026-04-15,sina_finance,000001.SZ,科大讯飞：AI大模型向行业纵深发展,(05-29) 科大讯飞：AI大模型向行业纵深发展 | (05-29) 科大讯飞：AI大模型向行业纵深发展,2026-05-29,(05-29) 科大讯飞：AI大模型向行业纵深发展,https://cj.sina.cn/articles/view/2311077472/89c03e6002002kgkm,https://finance.sina.com.cn/realstock/company/sz000001/nc.shtml,2026-05-29T22:48:31.184452,False,success,,0.0,0.0
