trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score,score_source
2026-06-03,guba,600519.SH,贵州茅台拟提高每股分红金额；国窖1573推出足球队联名产品丨酒业早参,贵州茅台拟提高每股分红金额；国窖1573推出足球队联名产品丨酒业早参 | 贵州茅台拟提高每股分红金额；国窖1573推出足球队联名产品丨酒业早参,2026-06-03,贵州茅台拟提高每股分红金额；国窖1573推出足球队联名产品丨酒业早参,"https://guba.eastmoney.com/news,600519,1720124920.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,酱香科技要开始吊打cpo咯，我们一起见证,酱香科技要开始吊打cpo咯，我们一起见证 | 酱香科技要开始吊打cpo咯，我们一起见证,2026-06-03,酱香科技要开始吊打cpo咯，我们一起见证,"https://guba.eastmoney.com/news,600519,1720260350.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,见底了，真的见底了,见底了，真的见底了 | 见底了，真的见底了,2026-06-03,见底了，真的见底了,"https://guba.eastmoney.com/news,600519,1720190101.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,看来2627.88就是天花板了。茅台时代结束了。被科技公司超越是既定事实，也是未,看来2627.88就是天花板了。茅台时代结束了。被科技公司超越是既定事实，也是未 | 看来2627.88就是天花板了。茅台时代结束了。被科技公司超越是既定事实，也是未,2026-06-03,看来2627.88就是天花板了。茅台时代结束了。被科技公司超越是既定事实，也是未,"https://guba.eastmoney.com/news,600519,1720125132.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,茅台的底在哪里？,茅台的底在哪里？ | 茅台的底在哪里？,2026-06-03,茅台的底在哪里？,"https://guba.eastmoney.com/news,600519,1713423544.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,怎么参加股东大会,怎么参加股东大会 | 怎么参加股东大会,2026-06-03,怎么参加股东大会,"https://guba.eastmoney.com/news,600519,1720142428.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,静待放量下跌,静待放量下跌 | 静待放量下跌,2026-06-03,静待放量下跌,"https://guba.eastmoney.com/news,600519,1720241836.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,-0.2857142857142857,-0.2857142857142857,keyword
2026-06-03,guba,600519.SH,段永平还买茅台吗？跌到怀疑人生。还有1000元要跌，茅台合理价格也就是200左右,段永平还买茅台吗？跌到怀疑人生。还有1000元要跌，茅台合理价格也就是200左右 | 段永平还买茅台吗？跌到怀疑人生。还有1000元要跌，茅台合理价格也就是200左右,2026-06-03,段永平还买茅台吗？跌到怀疑人生。还有1000元要跌，茅台合理价格也就是200左右,"https://guba.eastmoney.com/news,600519,1719948544.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,茅子哥什么时候起来,茅子哥什么时候起来 | 茅子哥什么时候起来,2026-06-03,茅子哥什么时候起来,"https://guba.eastmoney.com/news,600519,1720218558.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,没用的这就是个喂不饱的,没用的这就是个喂不饱的 | 没用的这就是个喂不饱的,2026-06-03,没用的这就是个喂不饱的,"https://guba.eastmoney.com/news,600519,1720216389.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,这一单真乃神来之卖，快2年了，依然还是最高点,这一单真乃神来之卖，快2年了，依然还是最高点 | 这一单真乃神来之卖，快2年了，依然还是最高点,2026-06-03,这一单真乃神来之卖，快2年了，依然还是最高点,"https://guba.eastmoney.com/news,600519,1720213763.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,别装了继续绿吧,别装了继续绿吧 | 别装了继续绿吧,2026-06-03,别装了继续绿吧,"https://guba.eastmoney.com/news,600519,1720199783.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,还会绿的,还会绿的 | 还会绿的,2026-06-03,还会绿的,"https://guba.eastmoney.com/news,600519,1720181047.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,True,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,要站在光那儿，不是光站这儿，老登们，懂吗？,要站在光那儿，不是光站这儿，老登们，懂吗？ | 要站在光那儿，不是光站这儿，老登们，懂吗？,2026-06-03,要站在光那儿，不是光站这儿，老登们，懂吗？,"https://guba.eastmoney.com/news,600519,1720170544.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,大盘涨你也跌，大盘跌你还是跌，那要大盘干嘛用,大盘涨你也跌，大盘跌你还是跌，那要大盘干嘛用 | 大盘涨你也跌，大盘跌你还是跌，那要大盘干嘛用,2026-06-03,大盘涨你也跌，大盘跌你还是跌，那要大盘干嘛用,"https://guba.eastmoney.com/news,600519,1720169300.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,贵州茅台目前是中国最牛逼的奢侈品。,贵州茅台目前是中国最牛逼的奢侈品。 | 贵州茅台目前是中国最牛逼的奢侈品。,2026-06-03,贵州茅台目前是中国最牛逼的奢侈品。,"https://guba.eastmoney.com/news,600519,1714904500.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,炸，，，，，一波,炸，，，，，一波 | 炸，，，，，一波,2026-06-03,炸，，，，，一波,"https://guba.eastmoney.com/news,600519,1720168331.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,600519.SH,茅台每年的酒，不愁卖，茅台每年有提价权。,茅台每年的酒，不愁卖，茅台每年有提价权。 | 茅台每年的酒，不愁卖，茅台每年有提价权。,2026-06-03,茅台每年的酒，不愁卖，茅台每年有提价权。,"https://guba.eastmoney.com/news,600519,1716614837.html","https://guba.eastmoney.com/list,sh600519.html",2026-06-04T09:55:21.075042,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,吓唬谁呢，这个股息我是不会卖的,吓唬谁呢，这个股息我是不会卖的 | 吓唬谁呢，这个股息我是不会卖的,2026-06-03,吓唬谁呢，这个股息我是不会卖的,"https://guba.eastmoney.com/news,000001,1720189615.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.245978,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,还有比平安银行更低市盈率的吗,还有比平安银行更低市盈率的吗 | 还有比平安银行更低市盈率的吗,2026-06-03,还有比平安银行更低市盈率的吗,"https://guba.eastmoney.com/news,000001,1720177860.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.245978,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,调出了，有这么严重吗？开盘竟然是跌幅第一名？,调出了，有这么严重吗？开盘竟然是跌幅第一名？ | 调出了，有这么严重吗？开盘竟然是跌幅第一名？,2026-06-03,调出了，有这么严重吗？开盘竟然是跌幅第一名？,"https://guba.eastmoney.com/news,000001,1720167714.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.245978,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,恶心至极，垃圾够恶心了,恶心至极，垃圾够恶心了 | 恶心至极，垃圾够恶心了,2026-06-03,恶心至极，垃圾够恶心了,"https://guba.eastmoney.com/news,000001,1720235125.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.245978,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,强烈要求呢只股除牌,强烈要求呢只股除牌 | 强烈要求呢只股除牌,2026-06-03,强烈要求呢只股除牌,"https://guba.eastmoney.com/news,000001,1720216125.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.245978,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,都在说平安被踢出Ａ50是利好，我怎么感觉后背发凉呢？但愿是我想太多了，总觉得人在,都在说平安被踢出Ａ50是利好，我怎么感觉后背发凉呢？但愿是我想太多了，总觉得人在 | 都在说平安被踢出Ａ50是利好，我怎么感觉后背发凉呢？但愿是我想太多了，总觉得人在,2026-06-03,都在说平安被踢出Ａ50是利好，我怎么感觉后背发凉呢？但愿是我想太多了，总觉得人在,"https://guba.eastmoney.com/news,000001,1720091764.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.245978,False,success,,0.2857142857142857,0.2857142857142857,keyword
2026-06-03,guba,000001.SZ,剔出富时A50有影响吗,剔出富时A50有影响吗 | 剔出富时A50有影响吗,2026-06-03,剔出富时A50有影响吗,"https://guba.eastmoney.com/news,000001,1720207136.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.245978,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,这垃圾严重污染市场环境，应该清理出市场,这垃圾严重污染市场环境，应该清理出市场 | 这垃圾严重污染市场环境，应该清理出市场,2026-06-03,这垃圾严重污染市场环境，应该清理出市场,"https://guba.eastmoney.com/news,000001,1720184347.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,利空出尽，不涨也难了。,利空出尽，不涨也难了。 | 利空出尽，不涨也难了。,2026-06-03,利空出尽，不涨也难了。,"https://guba.eastmoney.com/news,000001,1720180762.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,-0.2857142857142857,-0.2857142857142857,keyword
2026-06-03,guba,000001.SZ,2000万砸市值20亿也是牛，这是一个接盘的也没了？,2000万砸市值20亿也是牛，这是一个接盘的也没了？ | 2000万砸市值20亿也是牛，这是一个接盘的也没了？,2026-06-03,2000万砸市值20亿也是牛，这是一个接盘的也没了？,"https://guba.eastmoney.com/news,000001,1720177566.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,叙事主力控盘A股！勿队唯死空到底！等10.8以下！,叙事主力控盘A股！勿队唯死空到底！等10.8以下！ | 叙事主力控盘A股！勿队唯死空到底！等10.8以下！,2026-06-03,叙事主力控盘A股！勿队唯死空到底！等10.8以下！,"https://guba.eastmoney.com/news,000001,1719866717.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,这么多人等分猪肉，是不是有情况，有些不妙啊。,这么多人等分猪肉，是不是有情况，有些不妙啊。 | 这么多人等分猪肉，是不是有情况，有些不妙啊。,2026-06-03,这么多人等分猪肉，是不是有情况，有些不妙啊。,"https://guba.eastmoney.com/news,000001,1720132873.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,恭喜倒数第一,恭喜倒数第一 | 恭喜倒数第一,2026-06-03,恭喜倒数第一,"https://guba.eastmoney.com/news,000001,1720164732.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,早该清出去！！几年前四千多亿市值硬给老马干到二千亿……老马赶快分红！！！,早该清出去！！几年前四千多亿市值硬给老马干到二千亿……老马赶快分红！！！ | 早该清出去！！几年前四千多亿市值硬给老马干到二千亿……老马赶快分红！！！,2026-06-03,早该清出去！！几年前四千多亿市值硬给老马干到二千亿……老马赶快分红！！！,"https://guba.eastmoney.com/news,000001,1720156918.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,银行老登行业反弹均是套人，切勿接下落的飞刀。,银行老登行业反弹均是套人，切勿接下落的飞刀。 | 银行老登行业反弹均是套人，切勿接下落的飞刀。,2026-06-03,银行老登行业反弹均是套人，切勿接下落的飞刀。,"https://guba.eastmoney.com/news,000001,1720118334.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.2857142857142857,0.2857142857142857,keyword
2026-06-03,guba,000001.SZ,涨一根阳线，也不知道后面有多少阴线拿着分红,涨一根阳线，也不知道后面有多少阴线拿着分红 | 涨一根阳线，也不知道后面有多少阴线拿着分红,2026-06-03,涨一根阳线，也不知道后面有多少阴线拿着分红,"https://guba.eastmoney.com/news,000001,1717361784.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,屋漏偏逢连夜雨，船破遭遇打头风,屋漏偏逢连夜雨，船破遭遇打头风 | 屋漏偏逢连夜雨，船破遭遇打头风,2026-06-03,屋漏偏逢连夜雨，船破遭遇打头风,"https://guba.eastmoney.com/news,000001,1720047626.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.0,0.0,keyword
2026-06-03,guba,000001.SZ,平安银行，真是换了一波又一波的散户！回过头啦！看看还是那个样。好多以前股民都不在,平安银行，真是换了一波又一波的散户！回过头啦！看看还是那个样。好多以前股民都不在 | 平安银行，真是换了一波又一波的散户！回过头啦！看看还是那个样。好多以前股民都不在,2026-06-03,平安银行，真是换了一波又一波的散户！回过头啦！看看还是那个样。好多以前股民都不在,"https://guba.eastmoney.com/news,000001,1720109047.html","https://guba.eastmoney.com/list,sz000001.html",2026-06-04T09:55:30.246979,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,从保险权益延伸到客户健康，中国平安重构居家服务生态，如何实现商业正循环？,从保险权益延伸到客户健康，中国平安重构居家服务生态，如何实现商业正循环？ | 从保险权益延伸到客户健康，中国平安重构居家服务生态，如何实现商业正循环？,2026-06-03,从保险权益延伸到客户健康，中国平安重构居家服务生态，如何实现商业正循环？,"https://guba.eastmoney.com/news,601318,1720081158.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:51.622677,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,分红找跌是a股尿性！,分红找跌是a股尿性！ | 分红找跌是a股尿性！,2026-06-03,分红找跌是a股尿性！,"https://guba.eastmoney.com/news,601318,1720235468.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:51.622677,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,科技又起来了，顶不顶得住啊,科技又起来了，顶不顶得住啊 | 科技又起来了，顶不顶得住啊,2026-06-03,科技又起来了，顶不顶得住啊,"https://guba.eastmoney.com/news,601318,1720226338.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:51.622677,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,交易意愿低迷，平安做到了,交易意愿低迷，平安做到了 | 交易意愿低迷，平安做到了,2026-06-03,交易意愿低迷，平安做到了,"https://guba.eastmoney.com/news,601318,1720226411.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:51.622677,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,两年前被洗脑价值投资，如今只能被当一个笑话，站在牛市看绿景,两年前被洗脑价值投资，如今只能被当一个笑话，站在牛市看绿景 | 两年前被洗脑价值投资，如今只能被当一个笑话，站在牛市看绿景,2026-06-03,两年前被洗脑价值投资，如今只能被当一个笑话，站在牛市看绿景,"https://guba.eastmoney.com/news,601318,1720158621.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:51.622677,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,哪些天天喊加仓的人还在吗！我在科技赢麻了,哪些天天喊加仓的人还在吗！我在科技赢麻了 | 哪些天天喊加仓的人还在吗！我在科技赢麻了,2026-06-03,哪些天天喊加仓的人还在吗！我在科技赢麻了,"https://guba.eastmoney.com/news,601318,1719985827.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:51.623678,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,中国平安今日强势反弹，引领保险股走强，点开一看0.15%，持股盈亏-22%,中国平安今日强势反弹，引领保险股走强，点开一看0.15%，持股盈亏-22% | 中国平安今日强势反弹，引领保险股走强，点开一看0.15%，持股盈亏-22%,2026-06-03,中国平安今日强势反弹，引领保险股走强，点开一看0.15%，持股盈亏-22%,"https://guba.eastmoney.com/news,601318,1720218030.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:51.623678,False,success,,0.4444444444444444,0.4444444444444444,keyword
2026-06-03,guba,601318.SH,各位问一下今天有没有新低啊？,各位问一下今天有没有新低啊？ | 各位问一下今天有没有新低啊？,2026-06-03,各位问一下今天有没有新低啊？,"https://guba.eastmoney.com/news,601318,1720168003.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:51.623678,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,这要被抛弃了吧，亏了我16个点了,这要被抛弃了吧，亏了我16个点了 | 这要被抛弃了吧，亏了我16个点了,2026-06-03,这要被抛弃了吧，亏了我16个点了,"https://guba.eastmoney.com/news,601318,1720135920.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:51.623678,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,光互联之CPO方向：经股竞市择，优胜劣汰后，最强（20日生命线上）的：易中天联讯,"<div class=""xeditor_content app_h5_modify""><p> <span class=""insert-data guba_stock"" data-marketcode=""SH688808"" data-markettype=""1"" data-stockcode=""688808"" data-stockname=""联讯仪器"" dat",2026-06-03 17:32:45,"<div class=""xeditor_content app_h5_modify""><p> <span class=""insert-data guba_stock"" data-marketcode=""SH688808"" data-markettype=""1"" data-stockcode=""688808"" data-stockname=""联讯仪器"" data-dougu=""1""><a href=""https://quote.eastmoney.com/unify/r/1.688808"">$联讯仪器(SH688808)$</a> </span> <span class=""insert-data guba_stock"" data-marketcode=""SZ002281"" data-markettype=""0"" data-stockcode=""002281"" data-stockname=""光迅科技"" data-dougu=""1""><a href=""https://quote.eastmoney.com/unify/r/0.002281"">$光迅科技(SZ002281)$</a> </span> <span class=""insert-data guba_stock"" data-marketcode=""SZ300620"" data-markettype=""0"" data-stockcode=""300620"" data-stockname=""光库科技"" data-dougu=""1""><a href=""https://quote.eastmoney.com/unify/r/0.300620"">$光库科技(SZ300620)$</a> </span> </p><p><span>光互联之CPO方向：经股竞市择，优胜劣汰后，最强（20日生命线上）的：</span></p><p><spa","https://guba.eastmoney.com/news,601318,1719996243.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:52.047696,True,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,分红以后会不会稍微涨点,分红以后会不会稍微涨点 | 分红以后会不会稍微涨点,2026-06-03,分红以后会不会稍微涨点,"https://guba.eastmoney.com/news,601318,1719894478.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:52.047696,False,success,,0.0,0.0,keyword
2026-06-03,guba,601318.SH,买了平安本想有收益，没成想这逆子搞的本钱都赔了,买了平安本想有收益，没成想这逆子搞的本钱都赔了 | 买了平安本想有收益，没成想这逆子搞的本钱都赔了,2026-06-03,买了平安本想有收益，没成想这逆子搞的本钱都赔了,"https://guba.eastmoney.com/news,601318,1719791976.html","https://guba.eastmoney.com/list,sh601318.html",2026-06-04T09:55:52.047696,False,success,,0.0,0.0,keyword
