trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score,score_source
2026-06-03,weibo,600519.SH,贵州茅台 微博舆情热度 3.01%,金十数据微博舆情：贵州茅台 近12小时讨论热度指数 3.01% | 金十数据微博舆情：贵州茅台 近12小时讨论热度指数 3.01%,2026-06-03,金十数据微博舆情：贵州茅台 近12小时讨论热度指数 3.01%,https://datacenter.jin10.com/market,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:22.739024,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,贵州茅台 官微的 微博 ,贵州茅台 官微的 微博 _微博 | 贵州茅台 官微的 微博 _微博,2026-06-03,贵州茅台 官微的 微博 _微博,http://www.baidu.com/link?url=ibNKM8AI4A0LrCVL8prU9K01fh2h1EBhmfRp6U1OzqSQ3YwrmeCCfeiMomCu5CPy,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.879243,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,茅台 时空的 微博 ,茅台 时空的 微博 _微博 | 茅台 时空的 微博 _微博,2026-06-03,茅台 时空的 微博 _微博,http://www.baidu.com/link?url=9SmyXPSrkWoRH6HHDifKB2NkcmPelTkRb1Hf4Piy4jdYpqwA1as11uY5Y7bCvFJowIsrZZy7dtX5jYcvJQQ8ZR7y2azm0RcC9LNHaGl3AAK,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.881266,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,贵州茅台 (sh600519)超话—新浪 微博 超话社区,贵州茅台 (sh600519)超话—新浪 微博 超话社区 | 贵州茅台 (sh600519)超话—新浪 微博 超话社区,2026-06-03,贵州茅台 (sh600519)超话—新浪 微博 超话社区,http://www.baidu.com/link?url=Z3C2_EtMReFZL8g53RYCVdQS2IUy2e2MO_bqsNCxZTPF81q8aoXYhbzfMIydDGfJOXFIFtj-jz3SMO2j66mqd5fU8U8hkMBudNJj5yku86q,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.882238,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,小茅i 茅台 的 微博 ,小茅i 茅台 的 微博 _微博 | 小茅i 茅台 的 微博 _微博,2026-06-03,小茅i 茅台 的 微博 _微博,http://www.baidu.com/link?url=GYXfbdOt4EfUsTrW000YoKgzV1aqX7TooDBCg_GpRwKctT33DA35ssfZb6PjZSXi,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.882238,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,贵州茅台 官微的 微博 视... - @贵州茅台官微 的视频 - 视频 - 微博,贵州茅台 官微的 微博 视... - @贵州茅台官微 的视频 - 视频 - 微博 | 贵州茅台 官微的 微博 视... - @贵州茅台官微 的视频 - 视频 - 微博,2026-06-03,贵州茅台 官微的 微博 视... - @贵州茅台官微 的视频 - 视频 - 微博,http://www.baidu.com/link?url=_pxeWZIEZRh-eyLC5d53LXp505PD536Yc6zlNU4pGRxyhguPjCMqx2um3yEgJvuxLwxhAknCNSWHjNpiVRiRdq,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.883248,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,茅台玖章水墨解读系列之十一贵州茅... 来自 贵州茅台 官微 - 微博,茅台玖章水墨解读系列之十一贵州茅... 来自 贵州茅台 官微 - 微博 | 茅台玖章水墨解读系列之十一贵州茅... 来自 贵州茅台 官微 - 微博,2026-06-03,茅台玖章水墨解读系列之十一贵州茅... 来自 贵州茅台 官微 - 微博,http://www.baidu.com/link?url=bXx1IY_qHs9KlfAQcJzviB_NoH7TLknAO_X16tt14d4bRJlIlndBq4OmRg2E9gUl1tJlsxdwyKFd3YQMLCbafq,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.884249,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,2025#中国影视之夜# 圆满播出由中央广... 来自 贵州茅台 官微 - 微博,2025#中国影视之夜# 圆满播出由中央广... 来自 贵州茅台 官微 - 微博 | 2025#中国影视之夜# 圆满播出由中央广... 来自 贵州茅台 官微 - 微博,2026-06-03,2025#中国影视之夜# 圆满播出由中央广... 来自 贵州茅台 官微 - 微博,http://www.baidu.com/link?url=bXx1IY_qHs9KlfAQcJzviB_NoH7TLknAO_X16tt14d4bRJlIlndBq4OmRg2E9gUlXQER6puMoF2xeM5YFEWgrq,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.884249,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,贵州 人和国酒 茅台 足球队的 微博 ,贵州 人和国酒 茅台 足球队的 微博 _微博 | 贵州 人和国酒 茅台 足球队的 微博 _微博,2026-06-03,贵州 人和国酒 茅台 足球队的 微博 _微博,http://www.baidu.com/link?url=71uXfxpYRYXxtmoEmzYQ4pJEWWJuNg4sSmmaGUOBZnBl_5fazVA3nq6GLMO2kgmU,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.885257,False,success,,0.0,0.0,keyword
2026-06-03,weibo,600519.SH,寻文探馆073号绍兴茅台文化体验馆 ... 来自 贵州茅台 官微 - 微博,寻文探馆073号绍兴茅台文化体验馆 ... 来自 贵州茅台 官微 - 微博 | 寻文探馆073号绍兴茅台文化体验馆 ... 来自 贵州茅台 官微 - 微博,2026-06-03,寻文探馆073号绍兴茅台文化体验馆 ... 来自 贵州茅台 官微 - 微博,http://www.baidu.com/link?url=bXx1IY_qHs9KlfAQcJzviB_NoH7TLknAO_X16tt14d4bRJlIlndBq4OmRg2E9gUlyS6JLUryxT1tjmh1LAdZia,https://s.weibo.com/weibo?q=%E8%B4%B5%E5%B7%9E%E8%8C%85%E5%8F%B0,2026-06-04T09:55:23.885257,False,success,,0.0,0.0,keyword
