trade_date,platform,symbol,title,summary,post_time,content,url,source_page,fetch_time,is_noise,capture_status,failure_reason,keyword_score,ai_score,score_source
2026-06-03,xueqiu,600519.SH,"贵州茅台( 600519 )股票股价,行情,新闻,财报,数据 - 雪球","贵州茅台( 600519 )股票股价,行情,新闻,财报,数据 - 雪球 | 贵州茅台( 600519 )股票股价,行情,新闻,财报,数据 - 雪球",2026-06-03,"贵州茅台( 600519 )股票股价,行情,新闻,财报,数据 - 雪球",http://www.baidu.com/link?url=ZdrJ2Lwu5edqU6PgI7yx9jNn38xys1M3TsYf7PC3Ru1BGinACv0jmeWbQ-KyuFol,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.421505,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,贵州茅台( 600519 ) 股票股价,贵州茅台( 600519 ) 股票股价_股价行情_财报_数据报告 - 雪球 | 贵州茅台( 600519 ) 股票股价_股价行情_财报_数据报告 - 雪球,2026-06-03,贵州茅台( 600519 ) 股票股价_股价行情_财报_数据报告 - 雪球,http://www.baidu.com/link?url=pU1lczG_tPZEvlMFUaZ1ziyXar7tgBvCcjuiL8xqnNmEWM-BxDVnfzXh64LtCj_B,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.422507,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,贵州茅台(SH 600519 )的公司简介 - 雪球,贵州茅台(SH 600519 )的公司简介 - 雪球 | 贵州茅台(SH 600519 )的公司简介 - 雪球,2026-06-03,贵州茅台(SH 600519 )的公司简介 - 雪球,http://www.baidu.com/link?url=ZdrJ2Lwu5edqU6PgI7yx9jNn38xys1M3TsYf7PC3Ru_MKMK8HtIBWho3uHCLqcf5qimwwJZe3WzQQHNjGkG9uq,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.422507,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,贵州茅台( 600519 ) 的走势做一个较为全面的分析 一、基本面与最新业绩...,贵州茅台( 600519 ) 的走势做一个较为全面的分析 一、基本面与最新业绩... | 贵州茅台( 600519 ) 的走势做一个较为全面的分析 一、基本面与最新业绩...,2026-06-03,贵州茅台( 600519 ) 的走势做一个较为全面的分析 一、基本面与最新业绩...,http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfupKFQazW-cLB0F7M14Bcw-eC55gpLTKj-QXP84GU3wzJK,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.423510,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,"$贵州茅台(SH 600519 )$ 据称,官方即将调整3款 茅台 直营体系售价,100...","$贵州茅台(SH 600519 )$ 据称,官方即将调整3款 茅台 直营体系售价,100... | $贵州茅台(SH 600519 )$ 据称,官方即将调整3款 茅台 直营体系售价,100...",2026-06-03,"$贵州茅台(SH 600519 )$ 据称,官方即将调整3款 茅台 直营体系售价,100...",http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfuokLx87uX7FVqoRdoAOA4Hcut8PKEoWsPGG-Q051C0S9a,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.424510,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,$贵州茅台(SH 600519 )$ 贵州茅台 价值线(第一期)价值线的参考意义在于...,$贵州茅台(SH 600519 )$ 贵州茅台 价值线(第一期)价值线的参考意义在于... | $贵州茅台(SH 600519 )$ 贵州茅台 价值线(第一期)价值线的参考意义在于...,2026-06-03,$贵州茅台(SH 600519 )$ 贵州茅台 价值线(第一期)价值线的参考意义在于...,http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfuo7MQXM24bpmTYnJM0SNznfGmdANzMstW9BJWq9WgsQK_,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.424510,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,"$贵州茅台(SH 600519 )$ 今世白酒行当,不复往昔盛景。后生鲜嗜佳酿...","$贵州茅台(SH 600519 )$ 今世白酒行当,不复往昔盛景。后生鲜嗜佳酿... | $贵州茅台(SH 600519 )$ 今世白酒行当,不复往昔盛景。后生鲜嗜佳酿...",2026-06-03,"$贵州茅台(SH 600519 )$ 今世白酒行当,不复往昔盛景。后生鲜嗜佳酿...",http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfumSCQGbrWO3QjtadLYkEwnSGX_ZKNoBQ4x49qzQbYjW5a,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.425516,False,success,,0.0,0.0,keyword
2026-06-03,xueqiu,600519.SH,"$贵州茅台(SH 600519 )$ 茅台 如今的估值,可别想着短期大涨。上涨50%...","$贵州茅台(SH 600519 )$ 茅台 如今的估值,可别想着短期大涨。上涨50%... | $贵州茅台(SH 600519 )$ 茅台 如今的估值,可别想着短期大涨。上涨50%...",2026-06-03,"$贵州茅台(SH 600519 )$ 茅台 如今的估值,可别想着短期大涨。上涨50%...",http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfunAt8501b10mADU_DbMzNTSTntrl6Y67qgMn3DHfFVn9_,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.426395,False,success,,0.2857142857142857,0.2857142857142857,keyword
2026-06-03,xueqiu,600519.SH,"$贵州茅台(SH 600519 )$ i茅翔上供不应求,股息率连年上涨,天天新高,茅...","$贵州茅台(SH 600519 )$ i茅翔上供不应求,股息率连年上涨,天天新高,茅... | $贵州茅台(SH 600519 )$ i茅翔上供不应求,股息率连年上涨,天天新高,茅...",2026-06-03,"$贵州茅台(SH 600519 )$ i茅翔上供不应求,股息率连年上涨,天天新高,茅...",http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfumaIp94Ik6CHRE7bEQ9jm2O7ubM5Jt8lREsXLx_DugYqK,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.426395,False,success,,0.2857142857142857,0.2857142857142857,keyword
2026-06-03,xueqiu,600519.SH,"$贵州茅台(SH 600519 )$ 快分红了,一直下跌并不是坏事, 茅台 的经营...","$贵州茅台(SH 600519 )$ 快分红了,一直下跌并不是坏事, 茅台 的经营... | $贵州茅台(SH 600519 )$ 快分红了,一直下跌并不是坏事, 茅台 的经营...",2026-06-03,"$贵州茅台(SH 600519 )$ 快分红了,一直下跌并不是坏事, 茅台 的经营...",http://www.baidu.com/link?url=m92hFRBUag3Zm20e2qBBgB6pIyDzV4MntPnlhdYyfunFf41AdW5_vVH1ZfXfrMz08mn1MwsI0fC2SN1mhLhkCq,https://xueqiu.com/S/SH600519,2026-06-04T09:55:26.426395,False,success,,-0.2857142857142857,-0.2857142857142857,keyword
