month,signals,correct_signals,accuracy,avg_return,win_rate,avg_confidence,bullish_signals,bearish_signals
2025-01,3,2,0.6666666666666666,-0.002075630876467328,0.6666666666666666,0.1466168194800956,1,2
2025-02,3,2,0.6666666666666666,0.006776608285731918,0.6666666666666666,0.1466168194800956,1,2
2025-03,3,1,0.3333333333333333,-0.01163256139536023,0.3333333333333333,0.1466168194800956,1,2
2025-04,3,1,0.3333333333333333,0.00210686147262867,1.0,0.1466168194800956,1,2
2025-05,3,2,0.6666666666666666,-0.00922877096982702,0.0,0.1466168194800956,1,2
2025-06,3,3,1.0,0.003977383628844527,0.3333333333333333,0.1466168194800956,1,2
2025-07,3,1,0.3333333333333333,-0.003925732827699192,0.3333333333333333,0.1466168194800956,1,2
2025-08,3,1,0.3333333333333333,-0.001059264580304132,0.3333333333333333,0.1466168194800956,1,2
2025-09,3,2,0.6666666666666666,-0.007740783119639415,0.0,0.1466168194800956,1,2
2025-10,3,1,0.3333333333333333,0.010527868636417788,1.0,0.1466168194800956,1,2
2025-11,3,1,0.3333333333333333,-0.0034808908402217853,0.3333333333333333,0.1466168194800956,1,2
2025-12,3,2,0.6666666666666666,-0.002201361374711517,0.0,0.1466168194800956,1,2
2026-01,3,2,0.6666666666666666,-0.01053074580757149,0.0,0.1466168194800956,1,2
2026-02,3,2,0.6666666666666666,-0.008185086123240613,0.0,0.1466168194800956,1,2
2026-03,3,1,0.3333333333333333,0.006747494280829369,0.3333333333333333,0.1466168194800956,1,2
2026-04,3,2,0.6666666666666666,-0.005648878642771037,0.0,0.1466168194800956,1,2
2026-05,7,3,0.42857142857142855,-0.007143502508728099,0.14285714285714285,0.07079292263432668,5,2
